Cryo,Map Resolution,PDB,Peak Level,Size Cutoff >,Cryo Type,vTree#,numOfVoxels,numberOfNeighbors,neighbor trees,Max Density,MinDensity,AvgDensity,stdDensity,Percentage of voxels within 1 std,Percentage of voxels within 2 std,PCA_EigenValue1,PCA_EigenValue2,PCA_EigenValue3,PCA Thickness Ratio ev1/ev2,PCA Thickness Ratio ev2/ev3,Structure Tensor Helix (Percentage),Structure Tensor Sheet (Percentage),Percentage of voxels with density less than average,Radius of Gyration,Width,Hlx overlap (percentage),Strand overlap (percentage),Loop overlap (percentage),Unknown (percentage) - most likely outside protein model (noise),Label
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,64,135,5,29 53 72 128 217,0.58,0.46,0.51,0.03,0.66,0.95,9.22,4.35,2.74,2.12,1.59,0.33,0.67,0.56,4.1,4.94177,0.9,0,0.1,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,128,68,4,24 60 64 153,0.54,0.47,0.5,0.02,0.66,0.97,8.14,2.66,1.5,3.06,1.77,0.54,0.46,0.49,3.6,3.64974,0.78,0,0.22,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,70,128,7,25 62 65 93 97 114 244,0.66,0.48,0.55,0.04,0.6,0.98,10.26,4.17,3.31,2.46,1.26,0.42,0.58,0.53,4.3,6.98872,0,0.36,0.64,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,114,82,7,4 25 28 70 93 109 116,0.62,0.48,0.53,0.03,0.63,0.96,10.65,3.42,1.11,3.12,3.07,0.2,0.8,0.49,4,2.58076,0.34,0.55,0.11,0,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,58,144,4,30 42 44 105,0.53,0.39,0.49,0.03,0.73,0.94,31.06,2.61,2.43,11.9,1.08,0.31,0.69,0.4,6.1,12.4662,0,0.99,0,0.01,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,100,95,3,5 83 189,0.61,0.49,0.54,0.03,0.69,0.97,10.94,2.93,2.34,3.74,1.25,0.39,0.61,0.58,4.1,4.47,0,1,0,0,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,101,94,4,3 79 96 102,0.66,0.48,0.54,0.04,0.67,0.96,10.82,2.96,1.87,3.66,1.58,0.57,0.43,0.63,4,3.64974,0.02,0.11,0.87,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,59,144,4,26 50 132 171,0.58,0.42,0.49,0.04,0.64,0.99,7.41,5.47,3.77,1.35,1.45,0.35,0.65,0.51,4.2,6.32153,0,0.73,0.19,0.08,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,115,78,4,6 7 82 159,0.56,0.52,0.54,0.01,0.67,0.99,7.61,2.46,2.22,3.09,1.11,0.17,0.83,0.55,3.6,3.33174,0.51,0,0.45,0.04,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,71,126,5,29 72 108 127 209,0.54,0.44,0.49,0.02,0.64,0.97,12.78,3.93,2.62,3.25,1.5,0.4,0.6,0.57,4.5,5.57507,0,1,0,0,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,129,68,1,13,0.62,0.47,0.54,0.04,0.62,0.99,6.06,3.29,1.8,1.85,1.83,0.41,0.59,0.51,3.4,3.64974,0,0.57,0,0.43,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,65,134,4,32 70 178 193,0.64,0.46,0.55,0.04,0.63,0.95,12.93,7.06,2.01,1.83,3.51,0.24,0.76,0.53,4.8,3.64974,0,0,1,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,111,84,4,13 16 36 49,0.58,0.49,0.54,0.02,0.6,1,8.29,2.71,1.76,3.05,1.54,0.52,0.48,0.55,3.6,4.47,0.74,0.18,0.08,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,49,150,2,13 111,0.6,0.45,0.53,0.03,0.64,0.97,10.59,5.03,2.78,2.11,1.81,0.3,0.7,0.53,4.4,4.47,0,0.01,0.99,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,105,89,3,30 42 58,0.57,0.46,0.51,0.03,0.66,0.98,9.5,2.75,2.12,3.46,1.3,0.36,0.64,0.44,3.9,7.59754,0,1,0,0,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,61,137,4,22 27 44 172,0.54,0.45,0.51,0.03,0.68,0.96,15.28,3.41,2.49,4.48,1.37,0.54,0.46,0.55,4.7,6.98872,0,0.82,0.09,0.09,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,139,59,3,24 90 121,0.51,0.45,0.48,0.01,0.71,0.97,5.17,3.58,1.05,1.45,3.42,0.75,0.25,0.49,3.2,4.21436,1,0,0,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,75,121,7,21 57 76 170 188 197 210,0.55,0.42,0.49,0.03,0.66,0.98,13.52,3.79,1.87,3.56,2.03,0.68,0.32,0.56,4.5,3.64974,0,0.13,0.78,0.09,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,74,122,3,99 134 202,0.59,0.43,0.51,0.04,0.63,0.98,10.18,4.24,2.64,2.4,1.61,0.47,0.53,0.53,4.2,5.57507,0.86,0.02,0.11,0.01,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,138,63,4,12 43 118 175,0.53,0.47,0.5,0.02,0.68,0.97,4.99,3.16,2.17,1.58,1.46,0.44,0.56,0.44,3.3,4.94177,0.79,0,0.21,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,60,142,3,24 128 153,0.58,0.46,0.51,0.03,0.65,0.96,9.07,4.38,2.88,2.07,1.52,0.32,0.68,0.56,4.1,5.57507,0.98,0,0.01,0.01,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,104,91,5,29 67 99 124 214,0.52,0.44,0.48,0.02,0.6,1,10.78,4.17,1.68,2.59,2.48,0.52,0.48,0.48,4.1,4.47,0,0.81,0.03,0.15,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,48,151,2,13 91,0.66,0.47,0.54,0.04,0.7,0.95,18.16,3.3,2.48,5.51,1.33,0.33,0.67,0.55,5,5.57507,0.87,0.11,0.01,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,110,84,2,16 36,0.59,0.47,0.54,0.03,0.64,0.98,8.73,3.73,1.95,2.34,1.91,0.32,0.68,0.48,3.9,3.64974,0.94,0,0.06,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,89,102,4,8 9 11 175,0.6,0.5,0.55,0.03,0.66,0.96,8.22,6.15,2.03,1.34,3.03,0.38,0.62,0.51,4.1,4.47,0.25,0.75,0,0,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,106,88,5,5 33 51 55 77,0.64,0.52,0.57,0.03,0.66,0.95,7.89,3.37,1.97,2.34,1.71,0.64,0.36,0.57,3.7,3.64974,0.07,0.93,0,0,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,112,84,5,10 41 73 91 220,0.6,0.47,0.54,0.03,0.57,0.98,12.22,2.23,1.99,5.49,1.12,0.57,0.43,0.51,4.1,9.54066,0.12,0,0.88,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,76,121,6,1 54 75 152 170 197,0.6,0.45,0.51,0.04,0.64,0.98,10.39,3.27,2.5,3.17,1.31,0.58,0.42,0.55,4.1,4.47,0.01,0,0.99,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,62,137,2,32 70,0.62,0.45,0.53,0.04,0.65,0.97,18.86,4.44,1.81,4.25,2.46,0.39,0.61,0.54,5.1,6.98872,0,0,0.69,0.31,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,63,135,4,52 66 83 189,0.62,0.47,0.53,0.04,0.63,0.96,10.34,4.29,2.55,2.41,1.68,0.64,0.36,0.57,4.2,6.98872,0.92,0.08,0,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,77,120,5,18 23 33 106 143,0.62,0.49,0.55,0.03,0.64,0.97,9.85,4.12,2.33,2.39,1.77,0.43,0.57,0.53,4.1,6.98872,0.17,0.03,0.81,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,113,84,4,28 32 178 238,0.63,0.47,0.54,0.04,0.57,0.96,6.89,4.82,1.56,1.43,3.09,0.3,0.7,0.52,3.7,3.64974,0,0.57,0.43,0,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,107,86,2,67 121,0.57,0.47,0.5,0.03,0.6,0.95,5.69,4.08,1.94,1.39,2.11,0.49,0.51,0.56,3.5,4.21436,1,0,0,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,88,103,4,3 46 168 239,0.6,0.47,0.52,0.03,0.72,0.97,7.46,5.34,2.01,1.4,2.66,0.41,0.59,0.58,3.9,2.58076,0,0.55,0.44,0.01,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,6,323,4,83 115 157 159,0.61,0.49,0.56,0.02,0.65,0.96,21.14,10.4,3.74,2.03,2.78,0.47,0.53,0.5,6,5.57507,0.02,0.9,0.07,0.01,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,10,285,3,97 112 220,0.67,0.46,0.57,0.05,0.64,0.96,38.95,5.47,3.07,7.12,1.78,0.68,0.32,0.52,7,3.64974,0.98,0,0.02,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,148,51,1,45,0.5,0.41,0.46,0.02,0.65,0.98,4.24,2.06,1.97,2.06,1.04,0.12,0.88,0.47,2.9,2.58076,0.06,0,0.92,0.02,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,160,40,1,157,0.51,0.43,0.48,0.02,0.63,0.95,4.76,1.96,0.93,2.42,2.12,0.1,0.9,0.45,2.8,3.64974,0,0.08,0.85,0.08,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,38,165,4,26 68 98 185,0.62,0.47,0.53,0.03,0.69,0.95,17.72,4.12,2.8,4.3,1.47,0.51,0.49,0.55,5,8.0239,0,0.1,0.9,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,174,36,2,155 194,0.44,0.35,0.39,0.02,0.67,1,4.72,1.8,1.42,2.62,1.27,0.42,0.58,0.47,2.9,3.64974,0,0,0.03,0.97,Unknown
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,216,15,0,,0.43,0.39,0.41,0.01,0.53,1,2.29,0.98,0.69,2.34,1.43,0.8,0.2,0.47,2,2.58076,0,0,0,1,Unknown
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,202,22,2,74 94,0.51,0.45,0.48,0.02,0.68,1,3.62,1.37,0.61,2.65,2.24,0.77,0.23,0.45,2.4,3.33174,0,0,1,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,203,21,1,57,0.52,0.44,0.48,0.02,0.57,1,5.08,0.94,0.76,5.42,1.24,0.76,0.24,0.52,2.6,2.10718,0,0.1,0.19,0.71,Unknown
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,217,13,2,64 72,0.5,0.47,0.49,0.01,0.62,1,1.7,1.05,0.57,1.61,1.84,0,1,0.38,1.8,2.58076,0,0,1,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,175,35,3,89 118 138,0.53,0.48,0.51,0.01,0.66,0.97,4.26,1.52,1.27,2.81,1.2,0.63,0.37,0.49,2.7,2.10718,0.06,0.17,0.77,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,39,162,5,2 14 69 123 213,0.63,0.46,0.52,0.04,0.65,0.96,17.44,4.21,2.63,4.15,1.6,0.44,0.56,0.58,5,2.58076,0.05,0,0.91,0.04,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,161,40,1,25,0.58,0.42,0.49,0.03,0.7,0.98,2.4,1.99,1.91,1.21,1.04,0.35,0.65,0.57,2.6,2.58076,0.18,0,0.05,0.78,Unknown
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,149,49,2,87 141,0.5,0.42,0.46,0.02,0.65,0.96,4.27,2.27,1.59,1.88,1.43,0.12,0.88,0.53,2.9,3.64974,0,0.1,0.9,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,11,274,1,89,0.68,0.46,0.55,0.05,0.65,0.97,33.92,4.63,2.93,7.33,1.58,0.69,0.31,0.54,6.5,6.82804,0.93,0.07,0,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,7,297,3,52 115 159,0.62,0.48,0.55,0.03,0.63,0.97,45.05,5.21,3.11,8.66,1.67,0.69,0.31,0.54,7.4,14.8253,0.99,0.01,0,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,188,30,3,21 57 75,0.57,0.44,0.5,0.03,0.67,1,5.83,3.15,0.66,1.85,4.77,0.9,0.1,0.5,3.1,3.64974,0.23,0,0.77,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,5,325,7,55 80 82 83 100 106 231,0.67,0.49,0.56,0.04,0.68,0.95,25.02,10.41,3.71,2.4,2.81,0.47,0.53,0.57,6.3,10.5359,0.02,0.97,0.01,0,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,13,262,9,15 36 48 49 91 92 111 123 129,0.61,0.5,0.56,0.03,0.62,0.99,25.35,7.2,3.34,3.52,2.16,0.42,0.58,0.53,6.1,5.16151,0.04,0.93,0.03,0,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,177,34,2,17 18,0.56,0.47,0.51,0.03,0.59,0.94,4.02,1.58,1.13,2.55,1.39,0.76,0.24,0.62,2.7,2.58076,0.35,0.18,0.47,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,163,39,4,25 31 41 126,0.62,0.5,0.55,0.03,0.67,1,3.33,2.58,1.22,1.29,2.11,0.23,0.77,0.56,2.7,3.64974,1,0,0,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,201,22,1,103,0.54,0.47,0.5,0.02,0.55,1,2.55,1.56,0.72,1.64,2.18,0.5,0.5,0.55,2.2,2.10718,0,0,1,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,215,16,1,131,0.49,0.42,0.46,0.02,0.69,0.94,2.85,1.03,0.49,2.77,2.11,0.63,0.38,0.5,2.1,2.58076,0,0,0,1,Unknown
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,214,16,2,12 104,0.45,0.43,0.44,0.01,0.75,0.88,1.49,1.12,0.81,1.33,1.38,0.13,0.88,0.44,1.9,3.33174,0,0,1,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,200,23,1,150,0.51,0.39,0.46,0.04,0.65,1,3.64,1.54,0.54,2.36,2.83,0.61,0.39,0.48,2.4,3.33174,0,0,0,1,Unknown
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,228,10,1,26,0.48,0.43,0.46,0.02,0.7,1,1.37,0.87,0.47,1.57,1.85,0.7,0.3,0.4,1.7,2.10718,0,0,0,1,Unknown
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,162,39,3,94 99 124,0.48,0.4,0.45,0.02,0.69,0.97,7.22,1.45,0.98,4.97,1.48,0.79,0.21,0.44,3.2,2.58076,0,0,1,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,176,35,1,28,0.57,0.47,0.51,0.03,0.66,0.94,3.17,2.39,1.12,1.33,2.14,0.46,0.54,0.57,2.6,3.64974,0.51,0,0,0.49,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,12,274,4,43 90 138 214,0.57,0.44,0.5,0.03,0.64,0.96,29.8,6.08,3.21,4.9,1.9,0.58,0.42,0.56,6.3,8.16107,0.88,0.08,0.04,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,4,335,9,21 28 41 96 109 114 119 125 199,0.62,0.44,0.53,0.04,0.66,0.96,35.57,11.83,3.35,3.01,3.53,0.35,0.65,0.55,7.2,3.64974,0.01,0.76,0.23,0,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,189,29,2,63 100,0.55,0.49,0.51,0.02,0.66,0.97,2.95,2.1,0.88,1.4,2.39,0.21,0.79,0.55,2.5,2.10718,0.21,0.76,0,0.03,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,199,23,2,4 119,0.48,0.41,0.44,0.02,0.65,1,6.11,1.44,0.56,4.25,2.58,0.39,0.61,0.57,2.9,2.58076,0,0,0.52,0.48,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,172,36,3,22 27 61,0.5,0.43,0.46,0.02,0.61,0.97,3.58,1.74,1.26,2.05,1.38,0.33,0.67,0.5,2.6,3.33174,0,0.08,0.5,0.42,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,166,38,2,30 84,0.55,0.46,0.5,0.02,0.76,0.97,5.66,1.77,0.82,3.2,2.16,0.5,0.5,0.53,2.9,4.47,0,0.71,0.29,0,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,16,248,4,36 45 110 111,0.68,0.45,0.56,0.05,0.7,0.95,20.27,8.54,3.36,2.37,2.54,0.43,0.57,0.52,5.8,5.16151,0.98,0,0.02,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,204,20,3,8 47 117,0.56,0.49,0.52,0.02,0.7,0.95,1.79,1.32,1,1.35,1.32,0.35,0.65,0.65,2.1,3.64974,0.05,0.95,0,0,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,210,17,1,75,0.47,0.41,0.44,0.02,0.71,0.94,2.58,1.05,0.7,2.47,1.49,0.82,0.18,0.47,2.1,2.10718,0,0,0,1,Unknown
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,211,17,1,3,0.5,0.42,0.46,0.02,0.65,1,2.72,2.02,0.34,1.35,5.96,0.59,0.41,0.65,2.3,2.58076,0,0,0,1,Unknown
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,205,20,1,31,0.55,0.45,0.49,0.03,0.6,0.95,2.61,1.35,0.86,1.93,1.57,0.65,0.35,0.6,2.2,2.58076,0.2,0,0,0.8,Unknown
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,17,236,5,14 125 165 177 232,0.73,0.46,0.55,0.06,0.69,0.94,27.45,5.26,2.65,5.21,1.98,0.51,0.49,0.61,6,4.47,0.92,0,0.08,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,167,38,3,3 28 96,0.6,0.48,0.53,0.03,0.58,0.97,3.93,2.07,1.16,1.89,1.79,0.39,0.61,0.55,2.7,2.58076,0.39,0.61,0,0,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,173,36,1,3,0.6,0.42,0.49,0.04,0.67,0.97,2.51,2.01,1.4,1.25,1.43,0.14,0.86,0.58,2.5,2.58076,0,0,0.08,0.92,Unknown
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,198,24,2,26 68,0.58,0.48,0.53,0.03,0.71,1,2.78,1.81,0.66,1.53,2.75,0.75,0.25,0.46,2.3,2.98,0,0.08,0.92,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,1,395,5,26 34 50 76 156,0.61,0.4,0.51,0.05,0.66,0.97,76.39,6.73,3.77,11.36,1.79,0.6,0.4,0.52,9.4,3.64974,0.75,0.22,0.01,0.03,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,3,363,12,27 46 88 101 102 119 165 167 173 187 211 239,0.61,0.47,0.53,0.04,0.64,0.97,35.56,11,5.21,3.23,2.11,0.43,0.57,0.51,7.3,8.0239,0.03,0.53,0.43,0.01,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,165,38,4,3 17 46 103,0.56,0.47,0.51,0.02,0.61,1,3.02,2.66,1.19,1.13,2.24,0.42,0.58,0.53,2.7,3.64974,0.03,0,0.97,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,29,205,8,64 71 94 99 104 134 153 209,0.57,0.45,0.49,0.02,0.66,0.96,44.19,4.95,1.91,8.93,2.59,0.48,0.52,0.58,7.2,16.1168,0.03,0.68,0.29,0,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,171,37,1,59,0.46,0.36,0.42,0.02,0.65,0.97,3.28,2.19,0.99,1.5,2.22,0.24,0.76,0.54,2.6,3.64974,0,0,0,1,Unknown
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,15,250,5,2 13 117 137 223,0.66,0.49,0.55,0.04,0.66,0.96,30.82,4.55,3.82,6.77,1.19,0.52,0.48,0.56,6.3,15.6273,0.03,0.9,0.08,0,Sheet
